"region","household","membernumb","age","sex","peoplivinghh","languageofinterview","longwaitingtime","lackofnursingstaff","lackofrespect","lackofdrugsupply","tooexpenscantpay","someonehhneedcsps","stat_csps","religioncm","mainsourcehhincome","hhreceiveservic","attendedschool"
"Plateau-Central",1,3,12,"Female",11,"Moore","No","No","No","Yes","Yes","yes","intervention","Islam","agriculture","no","frequent"
"Plateau-Central",1,1,46,"male",11,"Moore","No","No","No","Yes","Yes","yes","intervention","Islam","agriculture","no","previousely attended"
"Plateau-Central",1,8,12,"Female",11,"Moore","No","No","No","Yes","Yes","yes","intervention","Islam","agriculture","no","frequent"
"Plateau-Central",1,4,8,"Female",11,"Moore","No","No","No","Yes","Yes","yes","intervention","Islam","agriculture","no","frequent"
"Plateau-Central",1,5,7,"male",11,"Moore","No","No","No","Yes","Yes","yes","intervention","Islam","agriculture","no","never attended"
"Plateau-Central",1,2,36,"Female",11,"Moore","No","No","No","Yes","Yes","yes","intervention","Islam","agriculture","no","never attended"
"Plateau-Central",1,9,8,"Female",11,"Moore","No","No","No","Yes","Yes","yes","intervention","Islam","agriculture","no","frequent"
"Plateau-Central",1,7,36,"Female",11,"Moore","No","No","No","Yes","Yes","yes","intervention","Islam","agriculture","no","never attended"
"Plateau-Central",2,17,9,"Female",18,"Moore","Yes","Yes","Yes","Yes","Yes","yes","intervention","Islam","agriculture","no","never attended"
"Plateau-Central",2,5,28,"male",18,"Moore","Yes","Yes","Yes","Yes","Yes","yes","intervention","Islam","agriculture","no","previousely attended"
"Plateau-Central",2,12,21,"Female",18,"Moore","Yes","Yes","Yes","Yes","Yes","yes","intervention","Islam","agriculture","no","never attended"
"Plateau-Central",2,3,51,"Female",18,"Moore","Yes","Yes","Yes","Yes","Yes","yes","intervention","Islam","agriculture","no","never attended"
"Plateau-Central",2,10,21,"Female",18,"Moore","Yes","Yes","Yes","Yes","Yes","yes","intervention","Islam","agriculture","no","never attended"
"Plateau-Central",2,18,18,"Female",18,"Moore","Yes","Yes","Yes","Yes","Yes","yes","intervention","Islam","agriculture","no","previousely attended"
"Plateau-Central",2,16,9,"male",18,"Moore","Yes","Yes","Yes","Yes","Yes","yes","intervention","Islam","agriculture","no","frequent"
"Plateau-Central",2,1,82,"male",18,"Moore","Yes","Yes","Yes","Yes","Yes","yes","intervention","Islam","agriculture","no","never attended"
"Plateau-Central",2,2,56,"Female",18,"Moore","Yes","Yes","Yes","Yes","Yes","yes","intervention","Islam","agriculture","no","never attended"
"Plateau-Central",2,9,8,"male",18,"Moore","Yes","Yes","Yes","Yes","Yes","yes","intervention","Islam","agriculture","no","never attended"
"Plateau-Central",2,14,21,"Female",18,"Moore","Yes","Yes","Yes","Yes","Yes","yes","intervention","Islam","agriculture","no","never attended"
"Plateau-Central",2,8,16,"male",18,"Moore","Yes","Yes","Yes","Yes","Yes","yes","intervention","Islam","agriculture","no","previousely attended"
"Plateau-Central",2,4,29,"male",18,"Moore","Yes","Yes","Yes","Yes","Yes","yes","intervention","Islam","agriculture","no","previousely attended"
"Plateau-Central",2,7,36,"male",18,"Moore","Yes","Yes","Yes","Yes","Yes","yes","intervention","Islam","agriculture","no","previousely attended"
"Plateau-Central",2,6,26,"male",18,"Moore","Yes","Yes","Yes","Yes","Yes","yes","intervention","Islam","agriculture","no","previousely attended"
"Plateau-Central",3,14,16,"Female",17,"Moore","Yes","No","No","No","Yes","yes","intervention","Protestantism","agriculture","no","frequent"
"Plateau-Central",3,5,19,"Female",17,"Moore","Yes","No","No","No","Yes","yes","intervention","Protestantism","agriculture","no","never attended"
"Plateau-Central",3,6,19,"Female",17,"Moore","Yes","No","No","No","Yes","yes","intervention","Protestantism","agriculture","no","frequent"
"Plateau-Central",3,12,17,"male",17,"Moore","Yes","No","No","No","Yes","yes","intervention","Protestantism","agriculture","no","frequent"
